{50F18103-730D-9FD5-E050-A8C063054923},1335000,2017-04-28 00:00,TW11 8DJ,S,N,F,108,,CAMBRIDGE ROAD,,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,A,A
{50F18103-730E-9FD5-E050-A8C063054923},570000,2017-04-28 00:00,SM3 8ES,S,N,F,25,,KENLEY WALK,CHEAM,SUTTON,SUTTON,GREATER LONDON,A,A
{50F18103-730F-9FD5-E050-A8C063054923},650000,2017-05-05 00:00,SE26 5DG,T,N,F,56,,TANNSFELD ROAD,,LONDON,LEWISHAM,GREATER LONDON,A,A
{50F18103-7310-9FD5-E050-A8C063054923},500000,2017-04-21 00:00,SE6 1RG,T,N,F,161,,TORRIDON ROAD,,LONDON,LEWISHAM,GREATER LONDON,A,A
{50F18103-7311-9FD5-E050-A8C063054923},220000,2017-05-18 00:00,CR0 6AP,F,N,L,WALCOT COURT,3,ASHBURTON ROAD,,CROYDON,CROYDON,GREATER LONDON,A,A
{50F18103-7312-9FD5-E050-A8C063054923},1280000,2017-05-12 00:00,SE13 5RH,S,N,F,114,,MANOR PARK,,LONDON,LEWISHAM,GREATER LONDON,A,A
{50F18103-7313-9FD5-E050-A8C063054923},648000,2017-04-18 00:00,SM5 3HD,S,N,F,30,,SALISBURY ROAD,,CARSHALTON,SUTTON,GREATER LONDON,A,A
{50F18103-7314-9FD5-E050-A8C063054923},800000,2017-03-31 00:00,BR2 0EL,D,N,F,16,,RAVENS CLOSE,,BROMLEY,BROMLEY,GREATER LONDON,A,A
{50F18103-7315-9FD5-E050-A8C063054923},1795000,2017-03-31 00:00,SW13 0PG,T,N,F,8,,CAMBRIDGE ROAD,,LONDON,RICHMOND UPON THAMES,GREATER LONDON,A,A
{50F18103-7316-9FD5-E050-A8C063054923},425000,2017-05-03 00:00,SE12 9PU,T,N,F,313,,MARVELS LANE,,LONDON,LEWISHAM,GREATER LONDON,A,A
{50F18103-7317-9FD5-E050-A8C063054923},395000,2017-04-06 00:00,DA16 1DJ,S,N,F,20,,PLYMSTOCK ROAD,,WELLING,BEXLEY,GREATER LONDON,A,A
{50F18103-7318-9FD5-E050-A8C063054923},347000,2017-01-20 00:00,CR0 9LD,T,N,F,70,,HARTSCROFT,,CROYDON,CROYDON,GREATER LONDON,A,A
{50F18103-7319-9FD5-E050-A8C063054923},310000,2017-05-22 00:00,SE4 1DZ,T,N,F,89,,BROCKLEY GROVE,,LONDON,LEWISHAM,GREATER LONDON,A,A
{50F18103-731A-9FD5-E050-A8C063054923},254000,2017-04-28 00:00,DA8 2AQ,T,N,F,135,,MANOR ROAD,,ERITH,BEXLEY,GREATER LONDON,B,A
{50F18103-731B-9FD5-E050-A8C063054923},647606,2017-04-07 00:00,SE7 8ER,T,N,F,106,,HEATHWOOD GARDENS,,LONDON,GREENWICH,GREATER LONDON,A,A
{50F18103-731C-9FD5-E050-A8C063054923},567500,2017-04-28 00:00,TW10 7QW,T,N,F,91,,WOODVILLE ROAD,,RICHMOND,RICHMOND UPON THAMES,GREATER LONDON,A,A
{50F18103-731D-9FD5-E050-A8C063054923},547000,2017-04-21 00:00,SE21 8BX,T,N,F,7,,CHALFORD ROAD,,LONDON,LAMBETH,GREATER LONDON,A,A
{50F18103-731E-9FD5-E050-A8C063054923},260000,2017-03-30 00:00,DA8 1DZ,T,N,F,270,,BROOK STREET,,ERITH,BEXLEY,GREATER LONDON,A,A
{68FEB20C-3FF9-38DA-E053-6C04A8C051AE},460000,2017-11-24 00:00,N3 2FH,F,Y,L,322,FLAT 68,REGENTS PARK ROAD,,LONDON,BARNET,GREATER LONDON,B,A
{68FEB20C-3FFE-38DA-E053-6C04A8C051AE},1641565,2017-11-29 00:00,,O,N,L,PHASE 1A,,LAMPTON ROAD,,HOUNSLOW,HOUNSLOW,GREATER LONDON,B,A
{68FEB20C-3FFF-38DA-E053-6C04A8C051AE},1000,2017-11-30 00:00,NW10 2JN,O,N,L,425,,HIGH ROAD,,LONDON,BRENT,GREATER LONDON,B,A
